415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
253 1775 272207 1.730147e-01 8.546412e+01 73 1 8.546412e+01 73 1.717759 1.85e-02
254 25 28485 2.409801e-01 2.925088e+01 29 1 2.925088e+01 29 1.716354 1.86e-02
255 793 171725 1.505064e-01 4.341817e+02 396 1 4.341817e+02 396 1.716212 1.87e-02
256 275 99816 1.497561e-01 1.576005e+02 128 1 1.576005e+02 128 1.715643 1.87e-02
257 3349 406467 1.809925e-01 2.834909e+02 272 1 2.834909e+02 272 1.715557 1.87e-02
258 1910 285968 1.925973e-01 9.085187e+01 92 1 9.085187e+01 92 1.715127 1.88e-02
259 3076 385785 1.854581e-01 1.382498e+02 118 1 1.382498e+02 118 1.714123 1.89e-02
260 2991 379848 1.384881e-01 3.984626e+02 429 2 5.138953e+02 573 1.713528 1.90e-02
261 3341 405595 1.310024e-01 3.759799e+02 396 1 3.759799e+02 396 1.712827 1.91e-02
262 461 131223 1.889846e-01 1.006359e+02 102 1 1.006359e+02 102 1.712383 1.91e-02
263 2 11845 2.503124e-01 4.237622e+01 41 1 4.237622e+01 41 1.711471 1.92e-02
264 1397 234859 1.303490e-01 5.815865e+02 548 1 5.815865e+02 548 1.710190 1.94e-02
265 125 66752 2.265832e-01 1.735285e+02 191 1 1.735285e+02 191 1.709966 1.94e-02
266 767 168641 1.247028e-01 3.779207e+02 391 1 3.779207e+02 391 1.708308 1.96e-02
267 994 193498 1.352814e-01 1.462404e+02 133 1 1.462404e+02 133 1.707687 1.97e-02
268 3097 387464 1.740032e-01 1.552651e+02 144 1 1.552651e+02 144 1.706510 1.98e-02
269 2966 378357 1.544188e-01 2.706294e+02 260 1 2.706294e+02 260 1.704758 2.01e-02
270 446 128448 1.341364e-01 3.066770e+02 275 1 3.066770e+02 275 1.704705 2.01e-02
271 2443 333719 1.807892e-01 1.244003e+02 106 1 1.244003e+02 106 1.703664 2.02e-02
